Agris Butterfly,Oct - Mar,Flying,8 - 17,"3,000"
Ant,All year,Rotten fruit or turnips,All day,80
Bagworm,All year,Shake tree,All day,600
Centipede,Mar - Dec,Hit rocks,All day,430
Citrus Long-Horned Beetle,All year,Tree stump,All day,350
Common Butterfly,Mar - Dec,Flying,4 - 19,160
Cricket,Mar - May,Ground,17 - 8,130
Damselfly,May - Aug,Flying,All day,500
Darner Dragonfly,Oct - Apr,Flying,8 - 17,230
Diving Beetle,Nov - Mar,River,8 - 19,800
Dung Beetle,June - Aug,Snowballs,All day,"2,500"
Earth-Boring Dung Beetle,Jan - Mar,Ground,All day,300
Emperor Butterfly,"Dec - Mar | June - Sept",Flying,17 - 8,"4,000"
Flea,Oct - May,On a flea-infested Villager,All day,70
Fly,All year,On rotten fruit or garbage,All day,60
Grasshopper,Jan - Mar,Ground,8 - 17,160
Hermit Crab,All year,Beach,19 - 8,"1,000"
Honeybee,Sept - Jan,Near flowers,8 - 17,200
Ladybug,"Apr | Sept - Dec",Flowers,8 - 17,200
Long Locust,Oct - May,Ground,8 - 19,200
Madagascan Sunset Moth,Oct - Mar,Flying,8 - 16,"2,500"
Man-Faced Stink Bug,Sept - Apr,Flowers,19 - 8,"1,000"
Mantis,Sept - Apr,Flowers,8 - 17,430
Migratory Locust,Feb - May,Ground,8 - 19,200
Mole Cricket,May - Nov,Underground,All day,500
Monarch Butterfly,Mar - May,Flying,4 - 17,140
Mosquito,Dec - Mar,Flying,17 - 4,130
Moth,All year,Lit windows,19 - 4,130
Orchid Mantis,Sept - May,Flowers,8 - 17,"2,400"
Paper Kite Butterfly,All year,Flying,8 - 19,"1,000"
Peacock Butterfly,Sept - Dec,"Near black, blue, or purple flowers",4 - 19,"2,500"
Pill Bug,Mar - Dec,Hit rocks,23 - 16,250
Pondskater,Nov - Mar,River,8 - 19,130
Queen Alexandra’s Birdwing,Nov - Mar,Flying,8 - 16,"4,000"
Rainbow Stag,Dec - Mar,Tree,19 - 8,"6,000"
Rajah Brooke’s Birdwing,"June - Aug | Oct - Mar","Near black, blue, or purple flowers",8 - 17,"2,500"
Red Dragonfly,Mar - Apr,Flying,8 - 19,180
Rosalia Batsei Beetle,Nov - Dec,Tree stump,All day,"3,000"
Scorpion,TBD,Ground,Night,
Snail,All year,Rock (rain),All day,250
Spider,All year,Shake tree,19 - 8,600
Stinkbug,Sept - Apr,Flowers,All day,120
Tarantula,May - Oct,Ground,19 - 4,"8,000"
Tiger Beetle,Aug - Apr,Ground,All day,"1,500"
Tiger Butterfly,Sept - Mar,Flying,4 - 19,240
Violin Beetle,"Mar - May | Nov - Dec",Tree stump,All day,450
Walker Cicada,Feb - Mar,Tree,8 - 16,400
Walking Leaf,Jan - Mar,Ground,All day,600
Wasp,All year,Shake Tree,All day,"2,500"
Wharf Roach,All year,Beach (rocks),All day,200
Yellow Butterfly,"Mar - Apr | Sept - Dec",Flying,4 - 19,160